Postal Code,Borough,Neighborhood,Latitude,Longitude
T1A,Medicine Hat,Central Medicine Hat,50.03646,-110.67925
T2A,Calgary,"Penbrooke Meadows, Marlborough",51.04968,-113.96432
T3A,Calgary,"Dalhousie, Edgemont, Hamptons, Hidden Valley",51.12606,-114.143158
T4A,Airdrie,East Airdrie,51.27245,-113.98698
T5A,Edmonton,"West Clareview, East Londonderry",53.5899,-113.4413
T6A,Edmonton,North Capilano,53.5483,-113.408
T7A,Drayton Valley,Not assigned,53.2165,-114.9893
T8A,Sherwood Park,West Sherwood Park,53.519,-113.3216
T9A,Wetaskiwin,Not assigned,52.9741,-113.3646
T1B,Medicine Hat,South Medicine Hat,50.0172,-110.651
T2B,Calgary,"Forest Lawn, Dover, Erin Woods",51.0318,-113.9786
T3B,Calgary,"Montgomery, Bowness, Silver Springs, Greenwood",51.0809,-114.1616
T4B,Airdrie,West Airdrie,51.2816,-114.0153
T5B,Edmonton,"East North Central, West Beverly",53.5766,-113.4608
T6B,Edmonton,"SE Capilano, West Southeast Industrial, East Bonnie Doon",53.5322,-113.4404
T7B,Not assigned,Not assigned,Not assigned,Not assigned
T8B,Sherwood Park,Outer Southwest,53.4482,-113.2706
T9B,Not assigned,Not assigned,Not assigned,Not assigned
T1C,Medicine Hat,North Medicine Hat,50.0556,-110.6822
T2C,Calgary,"Lynnwood Ridge, Ogden, Foothills Industrial, Great Plains",50.9878,-114.0001
T3C,Calgary,"Rosscarrock, Westgate, Wildwood, Shaganappi, Sunalta",51.0388,-114.098
T4C,Cochrane,Not assigned,51.1896,-114.4774
T5C,Edmonton,Central Londonderry,53.6129,-113.4572
T6C,Edmonton,Central Bonnie Doon,53.5182,-113.4769
T7C,Not assigned,Not assigned,Not assigned,Not assigned
T8C,Sherwood Park,Inner Southwest Sherwood Park,53.4162,-113.148
T9C,Vegreville,Not assigned,53.4874,-112.0636
T1E,Not assigned,Not assigned,Not assigned,Not assigned
T2E,Calgary,"Bridgeland, Greenview, Zoo, YYC",51.0632,-114.0614
T3E,Calgary,"Lakeview, Glendale, Killarney, Glamorgan",51.0227,-114.1342
T4E,Red Deer County,Not assigned,52.2911,-113.7027
T5E,Edmonton,"West Londonderry, East Calder",53.5923,-113.5168
T6E,Edmonton,"South Bonnie Doon, East University",53.5087,-113.5078
T7E,Edson,Not assigned,53.5908,-116.4104
T8E,Sherwood Park,Central Sherwood Park (Ardrossan),53.4548,-113.0498
T9E,Leduc,Leduc (Includes YEG),53.2524,-113.5388
T1G,Taber,Not assigned,49.7773,-112.158
